圖紙號碼,圖紙名稱
ARB-D02001,地下一層平面索引圖
ARB-D02002,地下一層平面圖(1/9)
ARB-D02003,地下一層平面圖(2/9)
ARB-D02004,地下一層平面圖(3/9)
ARB-D02005,地下一層平面圖(4/9)
ARB-D02006,地下一層平面圖(5/9)
ARB-D02007,地下一層平面圖(6/9)
ARB-D02008,地下一層平面圖(7/9)
ARB-D02009,地下一層平面圖(8/9)
ARB-D02010,地下一層平面圖(9/9)
ARB-D02011,地下一層平面圖(1/4)
ARB-D02012,地下一層平面圖(2/4)
ARB-D02013,地下一層平面圖(3/4)
ARB-D02014,地下一層平面圖(4/4)
ARB-D02015,一層平面索引圖
ARB-D02016,一層平面圖(1/9)
ARB-D02017,一層平面圖(2/9)
ARB-D02018,一層平面圖(3/9)
ARB-D02019,一層平面圖(4/9)
ARB-D02020,一層平面圖(5/9)
ARB-D02021,一層平面圖(6/9)
ARB-D02022,一層平面圖(7/9)
ARB-D02023,一層平面圖(8/9)
ARB-D02024,一層平面圖(9/9)
ARB-D02025,二層平面索引圖
ARB-D02026,二層平面圖(1/8)
ARB-D02027,二層平面圖(2/8)
ARB-D02028,二層平面圖(3/8)
ARB-D02029,二層平面圖(4/8)
ARB-D02030,二層平面圖(5/8)
ARB-D02031,二層平面圖(6/8)
ARB-D02032,二層平面圖(7/8)
ARB-D02033,二層平面圖(8/8)
ARB-D02034,三層平面索引圖
ARB-D02035,三層平面圖(1/8)
ARB-D02036,三層平面圖(2/8)
ARB-D02037,三層平面圖(3/8)
ARB-D02038,三層平面圖(4/8)
ARB-D02039,三層平面圖(5/8)
ARB-D02040,三層平面圖(6/8)
ARB-D02041,三層平面圖(7/8)
ARB-D02042,三層平面圖(8/8)
ARB-D02043,四層平面索引圖
ARB-D02044,四層平面圖(1/8)
ARB-D02045,四層平面圖(2/8)
ARB-D02046,四層平面圖(3/8)
ARB-D02047,四層平面圖(4/8)
ARB-D02048,四層平面圖(5/8)
ARB-D02049,四層平面圖(6/8)
ARB-D02050,四層平面圖(7/8)
ARB-D02051,四層平面圖(8/8)
ARB-D02052,五層平面索引圖
ARB-D02053,五層平面圖(1/9)
ARB-D02054,五層平面圖(2/9)
ARB-D02055,五層平面圖(3/9)
ARB-D02056,五層平面圖(4/9)
ARB-D02057,五層平面圖(5/9)
ARB-D02058,五層平面圖(6/9)
ARB-D02059,五層平面圖(7/9)
ARB-D02060,五層平面圖(8/9)
ARB-D02061,五層平面圖(9/9)
ARB-D02062,五層夾層平面索引圖
ARB-D02063,五層夾層平面圖(1/9)、(2/9)
ARB-D02064,五層夾層平面圖(3/9)
ARB-D02065,五層夾層平面圖(4/9)
ARB-D02066,五層夾層平面圖(5/9)
ARB-D02067,五層夾層平面圖(6/9)
ARB-D02068,五層夾層平面圖(7/9)
ARB-D02069,五層夾層平面圖(8/9)
ARB-D02070,五層夾層平面圖(9/9)
ARB-D02071,屋突一層、屋頂層平面索引圖
ARB-D02072,屋突一層平面圖(1/9)、(2/9)
ARB-D02073,屋突一層平面圖(3/9)
ARB-D02074,屋突一層平面圖(4/9)
ARB-D02075,屋突一層平面圖(5/9)
ARB-D02076,屋突一層平面圖(6/9)
ARB-D02077,屋突一層平面圖(7/9)
ARB-D02078,屋突一層平面圖(8/9)
ARB-D02079,屋突一層平面圖(9/9)
ARB-D02080,屋突二層平面圖
ARB-D02081,南、北側立面索引圖
ARB-D02082,南側立面圖(1/2)
ARB-D02083,南側立面圖(2/2)
ARB-D02084,北側立面圖(1/2)
ARB-D02085,北側立面圖(2/2)
ARB-D02086,東側立面圖
ARB-D02087,西側立面圖
ARB-D04002,長向剖面圖(1/3)
ARB-D04003,長向剖面圖(2/3)
ARB-D04004,長向剖面圖(3/3)
ARB-D04005,短向剖面圖(一)
ARB-D04006,短向剖面圖(二)
ARB-D04007,外牆剖面圖(一)
ARB-D04008,外牆剖面圖(二)
ARB-D04009,外牆剖面圖(三)
ARB-D04010,外牆剖面圖(四)
ARB-D04011,外牆剖面圖(五)
ARB-D04012,外牆剖面圖(六)
ARB-D04013,外牆剖面圖(七)
ARB-D04014,外牆剖面圖(八)
ARB-D05001,甲安全梯詳圖(一)
ARB-D05002,乙安全梯詳圖(一)
ARB-D05003,甲、乙安全梯詳圖(二)
ARB-D05004,丙無障礙梯詳圖(一)
ARB-D05005,丙無障礙梯剖面詳圖
ARB-D05006,丁安全梯詳圖(一)
ARB-D05007,戊安全梯詳圖(一)
ARB-D05008,丁、戊安全梯詳圖(二)
ARB-D05009,甲、乙貨梯詳圖(一)
ARB-D05010,甲貨梯剖面詳圖
ARB-D05011,丙、丁無障礙客梯詳圖(一)
ARB-D05012,丙、丁無障礙客梯剖面圖
ARB-D05013,廁所詳圖(一)
ARB-D05014,廁所詳圖(二)
ARB-D05015,廁所詳圖(三)
ARB-D05016,地下車道平面索引圖
ARB-D05017,地下車道平面詳圖(1/2)
ARB-D05018,地下車道平面詳圖(2/2)
ARB-D05019,地下汽車車道剖面展開圖(1/2)
ARB-D05020,地下汽車車道剖面展開圖(2/2)
ARB-D05021,地下機車車道剖面展開圖(1/2)
ARB-D05022,地下機車車道剖面展開圖(2/2)
ARB-D05023,地下室雨水貯集池A詳圖
ARB-D05024,地下室雨水貯集池B詳圖
ARB-D05025,地下排氣設備詳圖(一)
ARB-D05026,地下排氣設備詳圖(二)
ARB-D05027,FRP水箱詳圖
ARB-D05028,地下層雨水回收、自來水及消防水箱詳圖
ARB-D05029,屋頂層自來水及消防水箱詳圖
ARB-D06001,門窗表(一)
ARB-D06002,門窗表(二)
ARB-D07001,粉刷表(一)
ARB-D07002,粉刷表(二)
ARB-D07003,粉刷表(三)
ARB-D07004,地下一層輕隔間平面圖(1/8)
ARB-D07005,地下一層輕隔間平面圖(2/8)
ARB-D07006,地下一層輕隔間平面圖(3/8)
ARB-D07007,地下一層輕隔間平面圖(4/8)
ARB-D07008,地下一層輕隔間平面圖(5/8)
ARB-D07009,地下一層輕隔間平面圖(6/8)
ARB-D07010,地下一層輕隔間平面圖(7/8)
ARB-D07011,地下一層輕隔間平面圖(8/8)
ARB-D07012,地下一層輕隔間平面圖(1/4)
ARB-D07013,地下一層輕隔間平面圖(2/4)
ARB-D07014,地下一層輕隔間平面圖(3/4)
ARB-D07015,地下一層輕隔間平面圖(4/4)
ARB-D07016,一層輕隔間平面圖(1/8)
ARB-D07017,一層輕隔間平面圖(2/8)
