圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,信心,需複核,PDF頁碼,來源
ARA-D07014,玻璃帷幕立面圖,1,帷幕牆側立面圖,ARA-D07014-玻璃帷幕立面圖-帷幕牆側立面圖,existing_manual,否,,revit_manual_reference
ARA-D07014,玻璃帷幕立面圖,2,帷幕牆正立面詳圖,ARA-D07014-玻璃帷幕立面圖-帷幕牆正立面詳圖,existing_manual,否,,revit_manual_reference
ARA-D07015,玻璃帷幕平剖圖,1,入口雨遮平面詳圖,ARA-D07015-玻璃帷幕平剖圖-入口雨遮平面詳圖,existing_manual,否,,revit_manual_reference
ARA-D07015,玻璃帷幕平剖圖,2,帷幕牆平面詳剖,ARA-D07015-玻璃帷幕平剖圖-帷幕牆平面詳剖,existing_manual,否,,revit_manual_reference
ARA-D07015,玻璃帷幕平剖圖,3,帷幕牆及入口雨遮剖面圖,ARA-D07015-玻璃帷幕平剖圖-帷幕牆及入口雨遮剖面圖,existing_manual,否,,revit_manual_reference
ARA-D07016,玻璃帷幕詳圖(一),1,入口雨剖面詳圖,ARA-D07016-玻璃帷幕詳圖(一)-入口雨剖面詳圖,existing_manual,否,,revit_manual_reference
ARA-D07017,玻璃帷幕詳圖(二),1-5,帷幕牆斷面詳圖,ARA-D07017-玻璃帷幕詳圖(二)-帷幕牆斷面詳圖,existing_manual,否,,revit_manual_reference
ARA-D07018,玻璃帷幕詳圖(三),1-6,帷幕牆斷面詳圖,ARA-D07018-玻璃帷幕詳圖(三)-帷幕牆斷面詳圖,existing_manual,否,,revit_manual_reference
ARB-D03022,護欄詳圖,1,碼頭區RC護欄圖騰單元立面圖,ARB-D03022-護欄詳圖-碼頭區RC護欄圖騰單元立面圖,existing_manual,否,,revit_manual_reference
ARB-D03022,護欄詳圖,2,碼頭區RC護欄圖騰立面放樣圖,ARB-D03022-護欄詳圖-碼頭區RC護欄圖騰立面放樣圖,existing_manual,否,,revit_manual_reference
ARB-D03022,護欄詳圖,3,護攔粉刷剖面圖,ARB-D03022-護欄詳圖-護攔粉刷剖面圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),1,面磚地坪詳圖,ARB-D09001-施工大樣詳圖(一)-面磚地坪詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),10,室內外地坪交界面填縫詳圖,ARB-D09001-施工大樣詳圖(一)-室內外地坪交界面填縫詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),11,面磚類牆面及轉角詳圖,ARB-D09001-施工大樣詳圖(一)-面磚類牆面及轉角詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),2,環氧樹脂耐磨地坪詳圖,ARB-D09001-施工大樣詳圖(一)-環氧樹脂耐磨地坪詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),3,粉面類平頂詳圖,ARB-D09001-施工大樣詳圖(一)-粉面類平頂詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),4,1:2防水水泥砂漿刷貼止滑石英磚詳圖,ARB-D09001-施工大樣詳圖(一)-1:2防水水泥砂漿刷貼止滑石英磚詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),5,浴廁貼磁磚牆面(RC)及防水層詳圖,ARB-D09001-施工大樣詳圖(一)-浴廁貼磁磚牆面(RC)及防水層詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),6,水泥漆牆面詳圖,ARB-D09001-施工大樣詳圖(一)-水泥漆牆面詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),7,面磚牆面詳圖,ARB-D09001-施工大樣詳圖(一)-面磚牆面詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),8,屋頂地坪防水隔熱收邊詳圖,ARB-D09001-施工大樣詳圖(一)-屋頂地坪防水隔熱收邊詳圖,existing_manual,否,,revit_manual_reference
ARB-D09001,施工大樣詳圖(一),9,浴廁貼磁磚牆面(輕隔間)及防水層詳圖,ARB-D09001-施工大樣詳圖(一)-浴廁貼磁磚牆面(輕隔間)及防水層詳圖,existing_manual,否,,revit_manual_reference
ARB-D09002,施工大樣詳圖(二),1,地下室底版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室底版防水層詳圖,existing,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),2,地下室牆面防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室牆面防水層詳圖,existing,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),3,混凝土地坪詳桔構,ARB-D09002-施工大樣詳圖(二)-混凝土地坪詳桔構,low,是,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),4,地下室頂版防水層詳圖(上方覆土),ARB-D09002-施工大樣詳圖(二)-地下室頂版防水層詳圖(上方覆土),medium,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),5,"3F,5F碼頭區排水溝/地坪覆面層/防水層詳圖","ARB-D09002-施工大樣詳圖(二)-3F,5F碼頭區排水溝/地坪覆面層/防水層詳圖",high_correction,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),6,碼頭區淺水溝詳圖,ARB-D09002-施工大樣詳圖(二)-碼頭區淺水溝詳圖,existing,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),7,屋頂高腰式落水罩詳圖,ARB-D09002-施工大樣詳圖(二)-屋頂高腰式落水罩詳圖,existing,否,8,ocr_v2_preview
ARB-D09002,施工大樣詳圖(二),8,地下室頂版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室頂版防水層詳圖,medium,否,8,ocr_v2_preview
