圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源頁碼,來源模式,編號方式,信心,需複核,複核原因,OCR修正
ARB-D09002,施工大樣詳圖(二),1,地下室底版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室底版防水層詳圖,8,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09002,施工大樣詳圖(二),2,地下室牆面防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室牆面防水層詳圖,8,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09002,施工大樣詳圖(二),3,加強型改質瀝靑防水氈t=25m,ARB-D09002-施工大樣詳圖(二)-加強型改質瀝靑防水氈t=25m,8,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09002,施工大樣詳圖(二),4,地下室頂版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室頂版防水層詳圖,8,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09002,施工大樣詳圖(二),5,",碼頭區排水溝/地坪覆面層/防水層詳圖","ARB-D09002-施工大樣詳圖(二)-,碼頭區排水溝/地坪覆面層/防水層詳圖",8,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09002,施工大樣詳圖(二),6,碼頭區淺水溝詳圖,ARB-D09002-施工大樣詳圖(二)-碼頭區淺水溝詳圖,8,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),1,m扁鋼邊框,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-m扁鋼邊框,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),2,井蓋板詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-井蓋板詳圖,9,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),3,井詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-井詳圖,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),"4,9",結構圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-結構圖,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),5,地板排水溝平·剖面圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-地板排水溝平·剖面圖,9,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),6,屋頂通風道剖面圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-屋頂通風道剖面圖,9,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),7,基座邊溝詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-基座邊溝詳圖,9,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),8,犬走及排水明溝加蓋詳,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-犬走及排水明溝加蓋詳,9,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),10,不銹鋼排水溝深度依現況竇際,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-不銹鋼排水溝深度依現況竇際,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),1,水箱防水示意圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱防水示意圖,10,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"2,11",水箱洩水口詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱洩水口詳圖,10,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),3,污、廢水(集水)池泵浦人孔蓋標準詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-污、廢水(集水)池泵浦人孔蓋標準詳圖,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),4-5,詳剖圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-詳剖圖,10,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"6,10",8預埋排水管,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-8預埋排水管,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"7-8,12",水箱人孔蓋剖面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱人孔蓋剖面詳圖,10,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),9,人孔蓋平面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-人孔蓋平面詳圖,10,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),13,框防水詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-框防水詳圖,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,1,T:依結構圖為準(至少2m厚),ARB-D09005-停車場設施詳圖-T:依結構圖為準(至少2m厚),11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,2,框座錨錠詳圖,ARB-D09005-停車場設施詳圖-框座錨錠詳圖,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,3,(底排水溝朝向集水,ARB-D09005-停車場設施詳圖-(底排水溝朝向集水,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,4,(屬排水工程),ARB-D09005-停車場設施詳圖-(屬排水工程),11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,5,地下室外防水詳,ARB-D09005-停車場設施詳圖-地下室外防水詳,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,1,平面圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-平面圖,12,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,2,車擋詳圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-車擋詳圖,12,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,1,樓梯扶手詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-樓梯扶手詳圖,13,circle_left_title,circle_ocr,medium_circle,否,,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,2,踏步及扶手詳圖(鋼構樓梯,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-踏步及扶手詳圖(鋼構樓梯,13,circle_left_title,circle_ocr,medium_circle,否,,
