圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源模式,需複核,複核原因
ARA-D07014,玻璃帷幕立面圖,1,帷幕牆側立面圖,ARA-D07014-玻璃帷幕立面圖-帷幕牆側立面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07014,玻璃帷幕立面圖,2,帷幕牆正立面詳圖,ARA-D07014-玻璃帷幕立面圖-帷幕牆正立面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07015,玻璃帷幕平剖圖,1,入口雨遮平面詳圖,ARA-D07015-玻璃帷幕平剖圖-入口雨遮平面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07015,玻璃帷幕平剖圖,2,帷幕牆平面詳剖,ARA-D07015-玻璃帷幕平剖圖-帷幕牆平面詳剖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07015,玻璃帷幕平剖圖,3,帷幕牆及入口雨遮剖面圖,ARA-D07015-玻璃帷幕平剖圖-帷幕牆及入口雨遮剖面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07016,玻璃帷幕詳圖(一),1,入口雨剖面詳圖,ARA-D07016-玻璃帷幕詳圖(一)-入口雨剖面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07017,玻璃帷幕詳圖(二),1-5,帷幕牆斷面詳圖,ARA-D07017-玻璃帷幕詳圖(二)-帷幕牆斷面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARA-D07018,玻璃帷幕詳圖(三),1-6,帷幕牆斷面詳圖,ARA-D07018-玻璃帷幕詳圖(三)-帷幕牆斷面詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D03022,護欄詳圖,1,碼頭區RC護欄圖騰單元立面圖,ARB-D03022-護欄詳圖-碼頭區RC護欄圖騰單元立面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D03022,護欄詳圖,2,碼頭區RC護欄圖騰立面放樣圖,ARB-D03022-護欄詳圖-碼頭區RC護欄圖騰立面放樣圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D03022,護欄詳圖,3,護攔粉刷剖面圖,ARB-D03022-護欄詳圖-護攔粉刷剖面圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),1,面磚地坪詳圖,ARB-D09001-施工大樣詳圖(一)-面磚地坪詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),2,環氧樹脂耐磨地坪詳圖,ARB-D09001-施工大樣詳圖(一)-環氧樹脂耐磨地坪詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),3,粉面類平頂詳圖,ARB-D09001-施工大樣詳圖(一)-粉面類平頂詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
ARB-D09001,施工大樣詳圖(一),4,1:2防水水泥砂漿刷貼止滑石英磚詳圖,ARB-D09001-施工大樣詳圖(一)-1:2防水水泥砂漿刷貼止滑石英磚詳圖,v4_fallback,是,V5 未偵測到同圖紙同詳圖編號，使用 V4/OCR 候選補入，需人工查核
