圖紙號碼,圖紙名稱,詳圖編號,詳圖名稱,類型名稱,來源頁碼,來源模式,編號方式,信心,需複核,複核原因,OCR修正
ARB-D09002,施工大樣詳圖(二),3,加強型改質瀝靑防水氈t=25m,ARB-D09002-施工大樣詳圖(二)-加強型改質瀝靑防水氈t=25m,8,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09002,施工大樣詳圖(二),4,地下室頂版防水層詳圖,ARB-D09002-施工大樣詳圖(二)-地下室頂版防水層詳圖,8,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),1,m扁鋼邊框,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-m扁鋼邊框,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),3,井詳圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-井詳圖,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),"4,9",結構圖,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-結構圖,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09003,陰井、排水溝、淺溝、水箱人孔詳圖(一),10,不銹鋼排水溝深度依現況竇際,ARB-D09003-陰井、排水溝、淺溝、水箱人孔詳圖(一)-不銹鋼排水溝深度依現況竇際,9,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"2,11",水箱洩水口詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱洩水口詳圖,10,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),3,污、廢水(集水)池泵浦人孔蓋標準詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-污、廢水(集水)池泵浦人孔蓋標準詳圖,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"6,10",8預埋排水管,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-8預埋排水管,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),"7-8,12",水箱人孔蓋剖面詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-水箱人孔蓋剖面詳圖,10,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09004,陰井、排水溝、淺溝、水箱人孔詳圖(二),13,框防水詳圖,ARB-D09004-陰井、排水溝、淺溝、水箱人孔詳圖(二)-框防水詳圖,10,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,1,T:依結構圖為準(至少2m厚),ARB-D09005-停車場設施詳圖-T:依結構圖為準(至少2m厚),11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,2,框座錨錠詳圖,ARB-D09005-停車場設施詳圖-框座錨錠詳圖,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,3,(底排水溝朝向集水,ARB-D09005-停車場設施詳圖-(底排水溝朝向集水,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,4,(屬排水工程),ARB-D09005-停車場設施詳圖-(屬排水工程),11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09005,停車場設施詳圖,5,地下室外防水詳,ARB-D09005-停車場設施詳圖-地下室外防水詳,11,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,1,平面圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-平面圖,12,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09006,防火被覆、門檻、車擋、停車標線詳圖,2,車擋詳圖,ARB-D09006-防火被覆、門檻、車擋、停車標線詳圖-車擋詳圖,12,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,3,立面圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-立面圖,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,5,剖面詳圖,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-剖面詳圖,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09007,樓梯扶手、不鏽鋼爬梯詳圖,8,樓梯扶手詳圖(RC,ARB-D09007-樓梯扶手、不鏽鋼爬梯詳圖-樓梯扶手詳圖(RC,13,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09011,輕隔間詳圖(二),1,排水溝蓋,ARB-D09011-輕隔間詳圖(二)-排水溝蓋,17,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09011,輕隔間詳圖(二),3,檢俢門框接頭份詳圖,ARB-D09011-輕隔間詳圖(二)-檢俢門框接頭份詳圖,17,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09012,輕隔間詳圖(三),3,吊掛補強示意圖,ARB-D09012-輕隔間詳圖(三)-吊掛補強示意圖,18,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09014,岩棉庫板詳圖(一),3,棉庫板施工大樣圖,ARB-D09014-岩棉庫板詳圖(一)-棉庫板施工大樣圖,20,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09016,鋁合金高架地板及防颱百葉詳圖,3,牆角收邊剖面圖,ARB-D09016-鋁合金高架地板及防颱百葉詳圖-牆角收邊剖面圖,22,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09018,礦纖及鋁企口天花板詳圖,3,c架防潮吸音礦纖天花燈具收頭圖,ARB-D09018-礦纖及鋁企口天花板詳圖-c架防潮吸音礦纖天花燈具收頭圖,24,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09018,礦纖及鋁企口天花板詳圖,"4,6","C3,c企口天花板安裝示意圖","ARB-D09018-礦纖及鋁企口天花板詳圖-C3,c企口天花板安裝示意圖",24,circle_left_title,"circle_ocr,sequence_fallback",review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09019,C7金屬障板天花詳圖,3,A-A詳剖圖,ARB-D09019-C7金屬障板天花詳圖-A-A詳剖圖,25,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09022,廁所隔間詳圖,3,小便斗隔屏詳圖,ARB-D09022-廁所隔間詳圖-小便斗隔屏詳圖,28,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,隔屛->隔屏
ARB-D09024,指標系統詳圖(一),2,底座收邊框仃=18m),ARB-D09024-指標系統詳圖(一)-底座收邊框仃=18m),30,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09024,指標系統詳圖(一),3,c·貼壁式科室空間標示,ARB-D09024-指標系統詳圖(一)-c·貼壁式科室空間標示,30,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
ARB-D09026,指標系統詳圖(三),3,I2•懸臂式服務空間標示,ARB-D09026-指標系統詳圖(三)-I2•懸臂式服務空間標示,32,red_box_annotation,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判；紅框附近未讀到詳圖編號，使用版面順序補判,Ⅰ2->I2
ARB-D09028,FRP水箱詳圖(一),1,RC基座圖,ARB-D09028-FRP水箱詳圖(一)-RC基座圖,34,circle_left_title,sequence_fallback,review,是,圓圈內數字未被 OCR 讀取，使用版面順序補判,
