圖紙號碼,圖紙名稱
ARS-D01001,全區配置圖(EL+188)
ARS-D01002,全區配置圖(EL+197)
ARS-D09000,安全室 平立剖面圖
ARS-D09001,金屬障板天花詳圖
ARS-D09002,長條鋁企口天花詳圖
ARS-D09003,明架岩棉天花詳圖
ARS-D09004,暗架矽酸鈣板天花詳圖
ARS-D09005,明架礦纖天花詳圖
ARS-D09006,矽酸鈣板天花詳圖
ARS-D09007,吊裝口蓋板詳圖
ARS-D09008,廁所隔間詳圖
ARS-D09009,洗手台及UT詳圖
ARS-D09010,無障礙廁所詳圖
ARS-D09011,防水閘門詳圖
ARS-D09012,防水閘板詳圖
ARS-D09013,防煙捲簾及捲門詳圖
ARS-D09014,防煙垂壁詳圖
ARS-D09015,輕隔間詳圖(一)
ARS-D09016,輕隔間詳圖(二)
ARS-D09017,輕隔間詳圖(三)
ARS-D09018,屋頂、隔間、窗框防水詳圖
ARS-D09019,玻璃、不鏽鋼扶手及花崗石詳圖
ARS-D09020,樓梯扶手、不鏽鋼爬梯詳圖
ARS-D09021,扶手欄杆詳圖(一)
ARS-D09022,鋁合金高架地板及防颱百葉詳圖
ARS-D09023,陰井、排水溝、淺溝、水箱人孔詳圖
ARS-D09024,側排詳圖
ARS-D09025,防火被覆、門檻詳圖
ARS-D09026,停車場設施詳圖
ARS-D09027,指標系統詳圖(一)
ARS-D09028,指標系統詳圖(二)
ARS-D09029,指標系統詳圖(三)
ARS-D09030,指標系統詳圖(四)
ARS-D09031,玻璃帷幕立面圖
ARS-D09032,玻璃帷幕平剖圖
ARS-D09033,玻璃帷幕詳圖(一)
ARS-D09034,玻璃帷幕詳圖(二)
ARS-D09035,玻璃帷幕詳圖(三)
ARS-D09036,FRP水箱詳圖(一)
ARS-D09037,FRP水箱詳圖(二)
ARS-D09038,護欄圖騰詳圖
