工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,Type-A 雙面輕隔間,Type-A2 雙面輕隔間,Type-B 濕式輕隔間,Type-B 濕式輕隔間-襯板,Type-C 單面輕隔間,Type-D 矽酸鈣板(單面封板),Type-E 複壁,Type-E 纖維水泥板(單面)-10cm,Type-F 岩棉庫板,Type-F 岩棉庫板(柱封版),Type-G 矽酸鈣板(單板)
BS101,甲貨梯機坑,42.31,,,,,,,,,,,,,,,,,,,,,,,
BS102,廢水坑D,41.00,,,,,,,,,,,,,,,,,,,,,,,
BS103,丙客梯機坑,9.80,,,,,,,,,,,,,,,,,,,,,,,
BS104,丁客梯機坑,9.80,,,,,,,,,,,,,,,,,,,,,,,
BS105,廢水坑C,39.50,,,,,,,,,,,,,,,,,,,,,,,
BS106,廢水坑A,31.00,,,,,,,,,,,,,,,,,,,,,,,
BS107,廢水坑B,31.00,,,,,,,,,,,,,,,,,,,,,,,
BS108,廢水坑E,31.00,,,,,,,,,,,,,,,,,,,,,,,
BS109,廢水坑F,31.00,,,,,,,,,,,,,,,,,,,,,,,
B101,排風機房,37.89,Type-E 複壁,=14.58+3.12,4.41,=E15*F15,=G15,,,,,,,=H15,,,,,,,=O15,,,,
B102,消防機房,111.25,,,,,,,,,,,,,,,,,,,,,,,
B103,水箱機房,74.90,Type-E 複壁,=115.73,4.29,=E17*F17,=G17,,,,,,,=H17,,,,,,,=O17,,,,
B104,電氣室,17.55,,,,,,,,,,,,,,,,,,,,,,,
B105,排風機房,59.55,,,,,,,,,,,,,,,,,,,,,,,
B106,甲貨梯,24.50,,,,,,,,,,,,,,,,,,,,,,,
B107,梯廳,49.80,,,,,,,,,,,,,,,,,,,,,,,
B108,甲安全梯,21.00,,,,,,,,,,,,,,,,,,,,,,,
B109,乙昇降機,24.50,,,,,,,,,,,,,,,,,,,,,,,
B110,梯廳,49.80,,,,,,,,,,,,,,,,,,,,,,,
B111,乙安全梯,21.00,,,,,,,,,,,,,,,,,,,,,,,
B112,排氣機房,40.60,,,,,,,,,,,,,,,,,,,,,,,
B113,通廊,21.06,,,,,,,,,,,,,,,,,,,,,,,
B114,丁安全梯,20.30,,,,,,,,,,,,,,,,,,,,,,,
B115,戊安全梯,20.30,,,,,,,,,,,,,,,,,,,,,,,
B116,進風機房,42.00,,,,,,,,,,,,,,,,,,,,,,,
B117,儲藏室,36.29,Type-E 複壁,=2.80,2.50,=E31*F31,=G31,,,,,,,=H31,,,,,,,=O31,,,,
B118,員工飯廳,89.35,Type-E 複壁,=23.93+20.29,5.34,=E32*F32,=G32,,,,,,,=H32,,,,,,,=O32,,,,
B119,垃圾間,24.89,Type-E 複壁,=9.19,4.90,=E33*F33,=G33,,,,,,,=H33,,,,,,,=O33,,,,
B120,清潔/加熱區,39.21,Type-E 複壁,=5.88,5.10,=E34*F34,=G34,,,,,,,=H34,,,,,,,=O34,,,,
B121,無障礙廁所,9.12,,,,,,,,,,,,,,,,,,,,,,,
B122,哺乳室,11.43,Type-E 複壁,=1.17,5.13,=E36*F36,=G36,,,,,,,=H36,,,,,,,=O36,,,,
B123,男廁,23.06,,,,,,,,,,,,,,,,,,,,,,,
B124,管道間,7.55,,,,,,,,,,,,,,,,,,,,,,,
B125,女廁,26.17,Type-E 複壁,=3.32+2.66,5.02,=E39*F39,=G39,,,,,,,=H39,,,,,,,=O39,,,,
B126,員工販賣部,54.12,Type-E 複壁,=10.80+5.88,5.52,=E40*F40,=G40,,,,,,,=H40,,,,,,,=O40,,,,
B127,丙無障礙客梯,15.55,,,,,,,,,,,,,,,,,,,,,,,
B128,丁無障礙客梯,15.05,,,,,,,,,,,,,,,,,,,,,,,
B129,梯廳,25.90,,,,,,,,,,,,,,,,,,,,,,,
B130,管道間,9.30,,,,,,,,,,,,,,,,,,,,,,,
B131,丙無障礙安全梯,23.60,,,,,,,,,,,,,,,,,,,,,,,
B132,停車場空間暨防空避難室,733.18,Type-E 複壁,=61.50+38.40+0.30+0.95+237.68,5.37,=E46*F46,=G46,,,,,,,=H46,,,,,,,=O46,,,,
