工程採購數量計算表,,,,,,,,,,,,,,,,,,
綜合大樓,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,TYPE A1-乾式輕隔間-15cm,TYPE C-乾式輕隔間牆-15cm,TYPE D1-乾式輕隔間-10cm,TYPE E-纖維水泥板(單面)-10cm
BS101,廢水坑,11.80,,,,,,,,,,,,,,,,
B301,梯廳,29.90,TYPE E-纖維水泥板(單面)-10cm,=5.10+2.90+5.85,5.80,=E7*F7,=G7,,,,,,,=H7,,,,=O7
B301,梯廳,29.90,TYPE D1-乾式輕隔間-10cm,=0.20+0.90+0.20,5.80,=E8*F8,=G8,,,,,,,=H8,,,=O8,
B302,地下連通道,68.14,TYPE E-纖維水泥板(單面)-10cm,=25.19+3.66+6.31+27.38,3.25,=E9*F9,=G9,,,,,,,=H9,,,,=O9
B303,甲無障礙安全梯,17.60,,,,,,,,,,,,,,,,
B304,貯藏室,12.60,TYPE E-纖維水泥板(單面)-10cm,=3.60+2.70,5.80,=E11*F11,=G11,,,,,,,=H11,,,,=O11
B305,無障礙客梯,10.00,,,,,,,,,,,,,,,,
B201,水箱/雨水機房,169.80,,,,,,,,,,,,,,,,
B202,梯廳,25.60,TYPE E-纖維水泥板(單面)-10cm,=0.30+0.90+0.30,4.30,=E14*F14,=G14,,,,,,,=H14,,,,=O14
B203,消防機房,32.40,,,,,,,,,,,,,,,,
B204,甲無障礙安全梯,20.80,,,,,,,,,,,,,,,,
B205,無障礙客梯,10.00,,,,,,,,,,,,,,,,
B206,雨水水箱,47.80,,,,,,,,,,,,,,,,
B207,日用水箱,23.40,,,,,,,,,,,,,,,,
B208,消防水箱,8.60,,,,,,,,,,,,,,,,
B101,排風機房,28.80,,,,,,,,,,,,,,,,
B102,發電機室,42.00,,,,,,,,,,,,,,,,
